Date,Open,High,Low,Close,Adj Close,Volume,SMA_7,SMA_14,SMA_30,SMA_50,SMA_200,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ABER_ZG_5_15,ABER_SG_5_15,ABER_XG_5_15,ABER_ATR_5_15,Adj Close_A_BBL_20_2.0,ACCBL_20,ACCBM_20,ACCBU_20,AD,ADOSC_3_10,ADX_14,DMP_14,DMN_14,ALMA_10_6.0_0.85,AMATe_LR_8_21_2,AMATe_SR_8_21_2,AO_5_34,OBV,OBV_min_2,OBV_max_2,OBVe_4,OBVe_12,AOBV_LR_2,AOBV_SR_2,APO_12_26,AROOND_14,AROONU_14,AROONOSC_14,ATRr_14,Adj Close_B_BBL_20_2.0,BIAS_SMA_26,BOP,AR_26,BR_26,CCI_14_0.015,CFO_9,CG_10,CMO_14,COPC_11_14_10,CTI_12,ER_10,BULLP_13,BEARP_13,FISHERT_9_1,FISHERTs_9_1,INERTIA_20_14,K_9_3,D_9_3,J_9_3,KST_10_15_20_30_10_10_10_15,KSTs_9,MOM_10,PGO_14,PPO_12_26_9,PPOh_12_26_9,PPOs_12_26_9,PSL_12,PVO_12_26_9,PVOh_12_26_9,PVOs_12_26_9,QQE_14_5_4.236,QQE_14_5_4.236_RSIMA,QQEl_14_5_4.236,QQEs_14_5_4.236,ROC_10,RSX_14,RVGI_14_4,RVGIs_14_4,SLOPE_1,SMI_5_20_5,SMIs_5_20_5,SMIo_5_20_5,SQZ_20_2.0_20_1.5,SQZ_ON,SQZ_OFF,SQZ_NO,SQZPRO_20_2.0_20_2_1.5_1,SQZPRO_ON_WIDE,SQZPRO_ON_NORMAL,SQZPRO_ON_NARROW,SQZPRO_OFF,SQZPRO_NO,STC_10_12_26_0.5,STCmacd_10_12_26_0.5,STCstoch_10_12_26_0.5,STOCHk_14_3_3,STOCHd_14_3_3,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,TD_SEQ_UP,TD_SEQ_DN,TRIX_30_9,TRIXs_30_9,TSI_13_25_13,TSIs_13_25_13,UO_7_14_28,WILLR_14,DEMA_10,EMA_10,FWMA_10,HILO_13_21,HILOl_13_21,HILOs_13_21,HL2,HLC3,HMA_10,HWMA_0.2_0.1_0.1,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26,JMA_7_0,KAMA_10_2_30,LR_14,MIDPOINT_2,OHLC4,PWMA_10,SINWMA_14,SSF_10_2,SUPERT_7_3.0,SUPERTd_7_3.0,SUPERTl_7_3.0,SUPERTs_7_3.0,T3_10_0.7,TEMA_10,TRIMA_10,VIDYA_14,VWAP_D,VWMA_10,WCP,ZL_EMA_10,LOGRET_1,PCTRET_1,ENTP_10,KURT_30,MAD_30,MEDIAN_30,QTL_30_0.5,SKEW_30,STDEV_30,TOS_STDEVALL_LR,TOS_STDEVALL_L_1,TOS_STDEVALL_U_1,TOS_STDEVALL_L_2,TOS_STDEVALL_U_2,TOS_STDEVALL_L_3,TOS_STDEVALL_U_3,VAR_30,ZS_30,CHOP_14_1_100,CKSPl_10_3_20,CKSPs_10_3_20,LDECAY_5,DEC_1,DPO_20,INC_1,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2,QS_10,TTM_TRND_6,VHF_28,VTXP_14,VTXM_14,DCL_20_20,DCM_20_20,DCU_20_20,HWM,HWU,HWL,KCLe_20_2,KCBe_20_2,KCUe_20_2,MASSI_9_25,NATR_14,PDIST,RVI_14,THERMO_20_2_0.5,THERMOma_20_2_0.5,THERMOl_20_2_0.5,THERMOs_20_2_0.5,TRUERANGE_1,UI_14
2023-07-05,130.24000549316406,131.39999389648438,129.63999938964844,130.3800048828125,130.3800048828125,35895400,,,,,,,,,,,,,,,,,,,0,,,,-5710313.539616622,,,,,,0,0,,35895400.0,,,,,0,0,,,,,,0,,0.07954535602507304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,0,0,0,0,1,0.0,,0.0,,,,,,,,,,,,,,,,,,,130.5199966430664,130.47333272298178,,130.3800048828125,,,,,138.55999755859375,,,,,130.41500091552734,,,179.58168428860517,0.0,1,,,,,,,130.47333272298178,,130.45000076293945,,,,,,,,,,,120.87793404667539,98.84035449596364,142.91551359738713,76.80277494525188,164.9530931480989,54.76519539454014,186.99067269881064,,,,,,130.3800048828125,0,,0,,,0.02,0,,-1,,,,,,,130.3800048828125,130.3800048828125,130.3800048828125,,,,,,,,,,0,0,,
2023-07-06,128.25,128.72999572753906,127.37000274658203,128.36000061035156,128.36000061035156,40639900,,,,,,,,,,,,,,,,,,,0,,,,12816877.389771845,,,,,,0,0,,-4744500.0,-4744500.0,35895400.0,,,0,0,,,,,,0,,0.08088321917231862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0200042724609375,,,,,0,0,1,,0,0,0,0,1,0.0,,0.0,,,,,,,,,,,,,,,,,,,128.04999923706055,128.15333302815756,,129.93358393859864,,,,,138.41000366210938,,,,129.37000274658203,128.17749977111816,,,159.20686937251833,,1,,,,,,,128.15333302815756,,128.20499992370605,,-0.015614479950363446,-0.015493205988729275,,,,,,,,121.16352155914522,99.12594200843347,143.20110110985698,77.08836245772173,165.23868066056872,55.050782907009975,187.2762602112805,,,,,,130.1800048828125,1,,0,,200.02999877929688,0.04,0,,-1,,,,,,,129.93358393859864,129.93358393859864,129.93358393859864,,,,,,4.739990234375,,2.6699981689453125,,0,0,3.0100021362304688,
2023-07-07,128.58999633789062,130.97000122070312,128.1300048828125,129.77999877929688,129.77999877929688,41928700,,,,,,,,,,,,,,,,,,,0,,,,19608028.30261396,,,,,,0,0,,37184200.0,-4744500.0,37184200.0,,,0,0,,,,,,0,,0.41901548446717746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4199981689453125,,,,,0,0,1,,0,0,0,0,1,0.0,,0.0,,,,,,,,,,,,,,,,,,,129.5500030517578,129.62666829427084,,129.85339362057496,,,,,140.57000732421875,,,,129.06999969482422,129.36750030517578,,,143.37718553275295,,1,,,,,,,129.62666829427084,,129.66500091552734,,0.011001878790426247,0.011062622017709689,,,,,,,,121.44910907161507,99.41152952090331,143.48668862232682,77.37394997019157,165.52426817303856,55.33637041947982,187.5618477237503,,,,,,129.77999877929688,0,,1,,197.12359893798828,0.04,0,,-1,,,,,,,129.85339362057496,129.85339362057496,129.85339362057496,,,,,,4.7199859619140625,,2.2400054931640625,,0,0,2.839996337890625,
2023-07-10,129.07000732421875,129.27999877929688,125.91999816894531,127.12999725341797,127.12999725341797,61889300,,,,,,,,,,,,,,,,,,,0,,,,2293718.0260938713,,,,,,0,0,,-24705100.0,-24705100.0,37184200.0,10907500.0,,0,0,,,,,,0,,-0.5773838447600147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.6500015258789062,,,,,0,0,1,,0,0,0,0,1,0.0,,0.0,,,,,,,,,,,,,,,,,,,127.5999984741211,127.44333140055339,,129.19794992483722,,,,,137.6699981689453,,,,128.45499801635742,127.85000038146973,,,132.75367163373454,,1,,,,,,,127.44333140055339,,127.36499786376953,,-0.020630536429565062,-0.020419182854096718,,,,,,,,121.7346965840849,99.69711703337315,143.77227613479664,77.65953748266139,165.8098556855084,55.62195793194965,187.84743523622015,,,,,,129.5799987792969,1,,0,,194.33345509033202,0.06,0,,-1,,,,,,,129.19794992483722,129.69556066537012,128.7003391843043,,,,,,5.489982604980469,,2.2100067138671875,,0,0,3.8600006103515625,
2023-07-11,127.75,129.77000427246094,127.3499984741211,128.77999877929688,128.77999877929688,49951500,,,,,,,,,,,,,,,128.86599985758463,,,,0,,,,11375680.08886283,,,,,,0,0,,25246400.0,-24705100.0,25246400.0,16643060.0,,0,0,,,,,,0,,0.42561831050300286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6500015258789062,,,,,0,0,1,,0,0,0,0,1,0.0,,0.0,,,,,,,,,,,,,,,,,,,128.56000137329102,128.63333384195963,,128.98557814988015,,,,,135.07000732421875,,,,127.95499801635742,128.41250038146973,,,127.37873701606557,,1,,,,,,,128.63333384195963,,128.67000007629395,,0.01289534927354112,0.012978852839820476,,,,,,,,122.02028409655475,99.98270454584299,144.0578636472665,77.94512499513124,166.09544319797826,55.9075454444195,188.13302274869,,,,,,128.77999877929688,0,,1,,190.22864767504882,0.06,0,,-1,,,,,,,128.98557814988015,129.45822334921786,128.51293295054245,,,,,,4.430015563964844,,1.4300003051757812,,0,0,2.6400070190429688,
2023-07-12,130.30999755859375,131.25999450683594,128.8300018310547,130.8000030517578,130.8000030517578,54022800,,,,,,,,,,,,,,,128.8306666056315,,,,0,,,,44945721.83402145,,,,,,0,0,,79269200.0,25246400.0,79269200.0,41693516.0,,0,0,,,,,,0,,0.20164895888277698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0200042724609375,,,,,0,0,1,,0,0,0,0,1,0.0,,0.0,,,,,,,,,,,,,,,,,,,130.0449981689453,130.29666646321616,,129.24779854118648,,,,,133.97999572753906,,,,129.79000091552734,130.29999923706055,,,126.03459190885467,,1,,,,,,,130.29666646321616,,130.42250061035156,,0.015563949723523061,0.01568569880112225,,,,,,,,122.30587160902458,100.26829205831282,144.34345115973633,78.23071250760108,166.38103071044807,56.19313295688933,188.4186102611598,,,,,,130.8000030517578,0,,1,,186.3701287046826,0.06,0,,1,,,,,,,129.24779854118648,130.04070267229835,128.45489441007462,,,,,,5.8999786376953125,,1.489990234375,,0,0,2.4799957275390625,
2023-07-13,134.0399932861328,134.6699981689453,132.7100067138672,134.3000030517578,134.3000030517578,61170900,129.93285805838448,,,,,,,,,,,,,,129.978667195638,,,,0,,,,83021690.21549284,,,,,,0,0,,140440100.0,79269200.0,140440100.0,81192149.60000001,,0,0,,,,,,0,,0.13265862203191903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,0,0,1,,0,0,0,0,1,0.0,,0.0,,,,,,,,,,,,,,,,,,,133.69000244140625,133.8933359781901,,130.25717344781367,,,,,133.22000122070312,132.47413524149414,,,132.5500030517578,133.93000030517578,,,127.5745838666918,,1,,,,,,,133.8933359781901,,133.99500274658203,,0.026406663898050423,0.026758409161619312,,,,,,,,122.59145912149442,100.55387957078267,144.62903867220618,78.51630002007093,166.66661822291792,56.478720469359175,188.7041977736297,,,,,,134.3000030517578,0,,1,,182.74312087253836,0.06,0,,1,,,,,,,130.25717344781367,131.0121923567039,129.50215453892343,,,,,,6.89996337890625,,3.8800048828125,,0,0,3.8699951171875,
2023-07-14,134.05999755859375,136.64999389648438,134.05999755859375,134.67999267578125,134.67999267578125,54388100,130.5471420288086,,,,,,,,,,,,,,131.0793324788411,,,,0,,,,54672512.30954368,,,,,,0,0,,194828200.0,140440100.0,194828200.0,126646569.76,,0,0,,,,,,0,,0.2393806925968257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3799896240234375,,,,,0,0,1,,0,0,0,0,1,0.0,,0.0,,,,,,,,,,,,,,,,,,,135.35499572753906,135.12999471028647,,131.2366592166209,,,,,134.67999267578125,134.14503735151024,,,134.48999786376953,134.86249542236328,,,130.00694381343718,126.230712890625,1,126.230712890625,,,,,,135.12999471028647,,135.01749420166016,,0.0028254136578632553,0.002829408900884234,,,,,,,,122.87704663396426,100.8394670832525,144.914626184676,78.80188753254075,166.95220573538776,56.764307981829006,188.9897852860995,,,,,,134.67999267578125,0,,1,,179.33373351032276,0.06,0,,1,,,,,,,131.2366592166209,132.10498063278393,130.36833780045785,,,,,,4.8000030517578125,,1.9799957275390625,,0,0,2.589996337890625,
2023-07-17,134.55999755859375,135.6199951171875,133.2100067138672,133.55999755859375,133.55999755859375,48450200,131.28999873570032,,,,,,,,,,,,,,132.41666615804033,,,,0,,,,20294684.11167232,,,,,,0,0,,146378000.0,146378000.0,194828200.0,134539141.856,,0,0,,,,,,0,,-0.4149397559848298,,,,-0.19666528605876277,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,-1.1199951171875,,,,,0,0,1,,0,0,0,0,1,0.0,,0.0,,,,,,,,,,,,,,,,,,,134.41500091552734,134.12999979654947,,131.85651332718643,,,131.28499603271484,,134.25,134.20778010800217,,,134.1199951171875,134.23749923706055,,,131.90684396221909,126.230712890625,1,126.230712890625,,,,,,134.12999979654947,,133.98749923706055,,-0.008350743114511814,-0.008315972513331604,,,,,,,,123.1626341464341,101.12505459572235,145.20021369714584,79.08747504501059,167.2377932478576,57.04989549429885,189.27537279856935,,,,,,134.47999267578126,1,2.668497085571289,0,,176.12890938984012,0.06,0,,1,,,,,,,131.85651332718643,133.3773785395716,130.33564811480127,,,,,,3.939971923828125,,1.029998779296875,,0,0,2.4099884033203125,
2023-07-18,132.7100067138672,133.86000061035156,131.35000610351562,132.8300018310547,132.8300018310547,54969100,131.72571345738,,,,,,,,,,,,,,133.22599995930986,,,,0,,,,30149656.774063274,5489110.052729882,,,,0.0,0,0,,91408900.0,91408900.0,146378000.0,117287045.1136,,0,0,,,,,,0,,0.04780692422262075,,,,-1.225791923891573,-5.4593774063613045,,,,,,,0.09625417640909836,0.0,,,,,,,,,,,,,,,,,,,,,,,,-0.7299957275390625,,,,,0,0,1,,0,0,0,0,1,0.0,,0.0,,,,,,,,,,,,,,131.05999984741212,132.94307634046862,,,,132.6050033569336,132.68000284830728,,132.2426604965773,,,131.28499603271484,,135.52000427246094,133.88255237828577,0.0,,133.19499969482422,132.68750381469727,130.4848631620407,,132.9218990055316,126.230712890625,1,126.230712890625,,,,130.80166625976562,,132.68000284830728,131.16835093228667,132.71750259399414,,-0.005480667866621604,-0.005465676406731013,,,,,,,,123.44822165890393,101.41064210819218,145.4858012096157,79.37306255748044,167.52338076032743,57.33548300676868,189.5609603110392,,,,,,133.35999755859376,1,2.047001266479498,0,,173.11637471658642,0.06,0,0.10199966430664062,1,,,,,,,132.2426604965773,134.0502507227946,130.43507027035997,,,,,,5.7499847412109375,,1.8600006103515625,,0,0,2.5099945068359375,
